,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
412,   R$ 30.000 /Mês  ,  4   Quartos  ,"Jardim Europa, São Paulo - SP",  4   Banheiros  ,  3   Vagas  ,  350   m²  , SP,"Jardim Europa, São Paulo"
413,   R$ 1.000 /Mês  ,  2   Quartos  ,"Rua Ataualpa, 144 - Parque Novo Mundo, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  , Parque Novo Mundo,"Rua Ataualpa, 144"
414,   R$ 2.250 /Mês    R$ 435.800   ,  1   Quarto  ,"Rua Rubens Meireles, 99 - Várzea da Barra Funda, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  41   m²  , Várzea da Barra Funda,"Rua Rubens Meireles, 99"
415,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Correia de Lemos - Chácara Inglesa, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  90   m²  , Chácara Inglesa,Rua Correia de Lemos
416,   R$ 10.900 /Mês    R$ 3.500.000   ,  4   Quartos  ,"Rua Abegoaria - Jardim das Bandeiras, São Paulo - SP",  6   Banheiros  ,  5   Vagas  ,  420   m²  , Jardim das Bandeiras,Rua Abegoaria
417,   R$ 100.000 /Mês    R$ 33.000.000   ,  6   Quartos  ,"Rua Antônio de Andrade Rebelo - Retiro Morumbi, São Paulo - SP",  6   Banheiros  ,  10   Vagas  ,  1700   m²  , Retiro Morumbi,Rua Antônio de Andrade Rebelo
418,   R$ 16.000 /Mês  ,  4   Quartos  ,"Rua Nebraska - Brooklin Novo, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  200   m²  , Brooklin Novo,Rua Nebraska
419,   R$ 9.000 /Mês    R$ 2.250.000   ,  3   Quartos  ,"Rua Escobar Ortiz - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  190   m²  , Vila Nova Conceição,Rua Escobar Ortiz
420,   R$ 38.000 /Mês    R$ 5.000.000   ,  4   Quartos  ,"Jardim Morumbi, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  1000   m²  , SP,"Jardim Morumbi, São Paulo"
421,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua Fernandes Moreira, 306 - Chácara Santo Antônio (Zona Sul), São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  134   m²  , Chácara Santo Antônio (Zona Sul),"Rua Fernandes Moreira, 306"
422,   R$ 1.500 /Mês  ,  2   Quartos  ,"Rua Maracá, 168 - Vila Guarani (Z Sul), São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  72   m²  , Vila Guarani (Z Sul),"Rua Maracá, 168"
423,   R$ 990 /Mês  ,  1   Quarto  ,"Vila Palmeiras, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  50   m²  , SP,"Vila Palmeiras, São Paulo"
424,   R$ 6.800 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Rua Rita Joana de Sousa - Campo Belo, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  175   m²  , Campo Belo,Rua Rita Joana de Sousa
425,   R$ 4.500 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  100   m²  , Vila Olímpia,Avenida Doutor Cardoso de Melo
426,   R$ 4.300 /Mês    R$ 990.000   ,  3   Quartos  ,"Rua dos Chanes - Indianópolis, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  106   m²  , Indianópolis,Rua dos Chanes
427,   R$ 8.000 /Mês    R$ 2.300.000   ,  4   Quartos  ,"Rua Maria Luísa de Pinho - Parque da Mooca, São Paulo - SP",  4   Banheiros  ,  6   Vagas  ,  520   m²  , Parque da Mooca,Rua Maria Luísa de Pinho
428,   R$ 6.800 /Mês    R$ 2.400.000   ,  4   Quartos  ,"Rua Icádio, 1 - City América, São Paulo - SP",  5   Banheiros  ,  8   Vagas  ,  600   m²  , City América,"Rua Icádio, 1"
429,   R$ 13.000 /Mês    R$ 3.500.000   ,  4   Quartos  ,"Rua Pedro Ortiz - Sumarezinho, São Paulo - SP",  6   Banheiros  ,  4   Vagas  ,  312   m²  , Sumarezinho,Rua Pedro Ortiz
430,   R$ 1.600 /Mês  ,  2   Quartos  ,"Vila São Francisco (Zona Leste), São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  137   m²  , SP,"Vila São Francisco (Zona Leste), São Paulo"
431,   R$ 6.985 /Mês  ,  4   Quartos  ,"Rua José dos Santos Júnior, 405 - Campo Belo, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  370   m²  , Campo Belo,"Rua José dos Santos Júnior, 405"
432,   R$ 780 /Mês  ,  1   Quarto  ,"Rua Maria Antonieta - Vila Matilde, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  50   m²  , Vila Matilde,Rua Maria Antonieta
433,   R$ 800 /Mês  ,  2   Quartos  ,"Avenida Rodrigues Montemor, 786 - Cidade Domitila, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  40   m²  , Cidade Domitila,"Avenida Rodrigues Montemor, 786"
434,   R$ 3.200 /Mês    R$ 785.000   ,  2   Quartos  ,"Rua Lydia Simões Cabral - Indianópolis, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  90   m²  , Indianópolis,Rua Lydia Simões Cabral
435,   R$ 11.500 /Mês  ,  3   Quartos  ,"Rua Professor Filadelfo Azevedo - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  4   Vagas  ,  213   m²  , Vila Nova Conceição,Rua Professor Filadelfo Azevedo
436,   R$ 3.000 /Mês    R$ 800.000   ,  2   Quartos  ,"Rua Joel Jorge de Melo - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  120   m²  , Vila Mariana,Rua Joel Jorge de Melo
437,   R$ 1.570 /Mês  ,  3   Quartos  ,"Rua Lituânia - Alto da Mooca, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  78   m²  , Alto da Mooca,Rua Lituânia
438,   R$ 1.500 /Mês  ,  2   Quartos  ,"Avenida Ramalho Ortigão, 200 - Vila Gumercindo, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  100   m²  , Vila Gumercindo,"Avenida Ramalho Ortigão, 200"
439,   R$ 3.700 /Mês  ,  3   Quartos  ,"Rua Moreira Cardoso - Jardim Aeroporto, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  150   m²  , Jardim Aeroporto,Rua Moreira Cardoso
440,   R$ 12.000 /Mês    R$ 1.900.000   ,  4   Quartos  ,"Rua Topázio, 947 - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  390   m²  , Vila Mariana,"Rua Topázio, 947"
441,   R$ 20.000 /Mês    R$ 4.000.000   ,  4   Quartos  ,"Rua Palmares, 650 - Brooklin Paulista, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  647   m²  , Brooklin Paulista,"Rua Palmares, 650"
442,   R$ 4.950 /Mês    R$ 2.300.000   ,  3   Quartos  ,"Rua Paris - Sumaré, São Paulo - SP",  3   Banheiros  ,  4   Vagas  ,  177   m²  , Sumaré,Rua Paris
443,   R$ 45.000 /Mês    R$ 8.900.000   ,  4   Quartos  ,"Jardim Europa, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  445   m²  , SP,"Jardim Europa, São Paulo"
444,   R$ 8.000 /Mês  ,  2   Quartos  ,"Rua Cerro Corá, 100 - Vila Romana, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  90   m²  , Vila Romana,"Rua Cerro Corá, 100"
445,   R$ 30.000 /Mês    R$ 7.900.000   ,  4   Quartos  ,"Jardim Cordeiro, São Paulo - SP",  6   Banheiros  ,  14   Vagas  ,  941   m²  , SP,"Jardim Cordeiro, São Paulo"
446,   R$ 2.200 /Mês  ,  3   Quartos  ,"Rua Clotilde Orsolini Morana, 112 - Jardim Sandra, São Paulo - SP",  2   Banheiros  ,  3   Vagas  ,  340   m²  , Jardim Sandra,"Rua Clotilde Orsolini Morana, 112"
447,   R$ 9.500 /Mês  ,  2   Quartos  ,"Rua Bernarda Luiz, 164 - Vila Madalena, São Paulo - SP",  3   Banheiros  ,  --   Vaga  ,  180   m²  , Vila Madalena,"Rua Bernarda Luiz, 164"
448,   R$ 8.000 /Mês  ,  11   Quartos  ,"Rua Estevão Baião - Vila Congonhas, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  369   m²  , Vila Congonhas,Rua Estevão Baião
449,   R$ 3.000 /Mês    R$ 397.000   ,  5   Quartos  ,"Rua César Pena Ramos, 1744 - Vila Santa Maria, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  165   m²  , Vila Santa Maria,"Rua César Pena Ramos, 1744"
450,   R$ 1.096 /Mês  ,  1   Quarto  ,"Rua Barão de Melgaço, 29 - Real Parque, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  50   m²  , Real Parque,"Rua Barão de Melgaço, 29"
451,   R$ 30.000 /Mês    R$ 6.500.000   ,  4   Quartos  ,"Vila Morumbi, São Paulo - SP",  5   Banheiros  ,  10   Vagas  ,  713   m²  , SP,"Vila Morumbi, São Paulo"
452,   R$ 7.000 /Mês    R$ 1.590.000   ,  3   Quartos  ,"Avenida Cardeal Motta - City América, São Paulo - SP",  5   Banheiros  ,  5   Vagas  ,  350   m²  , City América,Avenida Cardeal Motta
453,   R$ 13.000 /Mês    R$ 1.990.000   ,  4   Quartos  ,"Rua Jorge Tibiriçá - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  182   m²  , Vila Mariana,Rua Jorge Tibiriçá
454,   R$ 45.000 /Mês    R$ 8.900.000   ,  4   Quartos  ,"Rua Campo Verde - Jardim Europa, São Paulo - SP",  6   Banheiros  ,  4   Vagas  ,  490   m²  , Jardim Europa,Rua Campo Verde
455,   R$ 800 /Mês  ,  1   Quarto  ,"Rua Jorge Dias, 94 - Socorro, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  30   m²  , Socorro,"Rua Jorge Dias, 94"
456,   R$ 2.990 /Mês  ,  5   Quartos  ,"Rua Piraí - Alto da Lapa, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  100   m²  , Alto da Lapa,Rua Piraí
457,   R$ 1.500 /Mês  ,  2   Quartos  ,"Rua Francisco Riva - Conjunto Habitacional Barreira Grande, São Paulo - SP",  1   Banheiro  ,  3   Vagas  ,  120   m²  , Conjunto Habitacional Barreira Grande,Rua Francisco Riva
458,   R$ 2.600 /Mês  ,  2   Quartos  ,"Rua República do Iraque, 88 - Brooklin Paulista, São Paulo - SP",  2   Banheiros  ,  3   Vagas  ,  120   m²  , Brooklin Paulista,"Rua República do Iraque, 88"
459,   R$ 50.000 /Mês    R$ 9.000.000   ,  4   Quartos  ,"Rua Dom Tomás Costa e Lima, 97 - Vila Tramontano, São Paulo - SP",  5   Banheiros  ,  14   Vagas  ,  1075   m²  , Vila Tramontano,"Rua Dom Tomás Costa e Lima, 97"
460,   R$ 8.000 /Mês  ,  4   Quartos  ,"Rua Demóstenes - Campo Belo, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  200   m²  , Campo Belo,Rua Demóstenes
461,   R$ 16.000 /Mês  ,  3   Quartos  ,"Rua Turquia - Jardim Europa, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  260   m²  , Jardim Europa,Rua Turquia
462,   R$ 8.000 /Mês  ,  3   Quartos  ,"Alto de Pinheiros, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  450   m²  , SP,"Alto de Pinheiros, São Paulo"
463,   R$ 10.000 /Mês  ,  2   Quartos  ,"Rua Maestro Chiaffarelli - Jardim Paulista, São Paulo - SP",  4   Banheiros  ,  1   Vaga  ,  170   m²  , Jardim Paulista,Rua Maestro Chiaffarelli
464,   R$ 10.000 /Mês    R$ 3.000.000   ,  4   Quartos  ,"Rua Carlos Rath - Alto de Pinheiros, São Paulo - SP",  5   Banheiros  ,  5   Vagas  ,  400   m²  , Alto de Pinheiros,Rua Carlos Rath
465,   R$ 2.600 /Mês  ,  1   Quarto  ,"Alameda dos Anapurus - Indianópolis, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  50   m²  , Indianópolis,Alameda dos Anapurus
466,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Comendador Miguel Calfat, 62 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  56   m²  , Vila Nova Conceição,"Rua Comendador Miguel Calfat, 62"
467,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  88   m²  , Sumarezinho,"Rua Oscar Caravelas, 280"
468,   R$ 1.050 /Mês  ,  1   Quarto  ,"Rua Tenente Otávio Gomes, 330 - Aclimação, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  34   m²  , Aclimação,"Rua Tenente Otávio Gomes, 330"
469,   R$ 990 /Mês  ,  1   Quarto  ,"Rua Chico Pontes, 184 - Carandiru, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  24   m²  , Carandiru,"Rua Chico Pontes, 184"
470,   R$ 5.585 /Mês  ,  2   Quartos  ,"Rua Fernão Dias, 323 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  84   m²  , Pinheiros,"Rua Fernão Dias, 323"
471,   R$ 2.290 /Mês  ,  2   Quartos  ,"Avenida Onze de Junho, 730 - Vila Clementino, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  53   m²  , Vila Clementino,"Avenida Onze de Junho, 730"
472,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  , Sumaré,"Rua Paris, 415"
473,   R$ 5.500 /Mês  ,  3   Quartos  ,"Rua João Lourenço, 763 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  80   m²  , Vila Nova Conceição,"Rua João Lourenço, 763"
474,   R$ 4.500 /Mês  ,  2   Quartos  ,"Rua Dona Antônia de Queirós, 505 - Consolação, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  60   m²  , Consolação,"Rua Dona Antônia de Queirós, 505"
475,   R$ 4.250 /Mês  ,  1   Quarto  ,"Rua George Ohm, 330 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  52   m²  , Cidade Monções,"Rua George Ohm, 330"
476,   R$ 3.300 /Mês  ,  3   Quartos  ,"Rua Conselheiro Brotero, 823 - Santa Cecília, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  88   m²  , Santa Cecília,"Rua Conselheiro Brotero, 823"
477,   R$ 2.190 /Mês  ,  1   Quarto  ,"Rua Cristiano Viana, 950 - Cerqueira César, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  , Cerqueira César,"Rua Cristiano Viana, 950"
478,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Constantino de Sousa, 1032 - Campo Belo, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  45   m²  , Campo Belo,"Rua Constantino de Sousa, 1032"
479,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  , Consolação,"Rua Caio Prado, 363"
480,   R$ 2.500 /Mês    R$ 750.000   ,  2   Quartos  ,"Rua Fidalga, 720 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  62   m²  , Pinheiros,"Rua Fidalga, 720"
481,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Ipanema, 67 - Mooca, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  63   m²  , Mooca,"Rua Ipanema, 67"
482,   R$ 5.785 /Mês  ,  3   Quartos  ,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  116   m²  , Perdizes,"Rua Itapicuru, 380"
483,   R$ 2.890 /Mês  ,  1   Quarto  ,"Rua Artur Prado, 433 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  43   m²  , Bela Vista,"Rua Artur Prado, 433"
484,   R$ 6.490 /Mês  ,  3   Quartos  ,"Rua Bacaetava, 66 - Vila Gertrudes, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  107   m²  , Vila Gertrudes,"Rua Bacaetava, 66"
485,   R$ 3.350 /Mês  ,  3   Quartos  ,"Avenida Paulista, 37 - Bela Vista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  116   m²  , Bela Vista,"Avenida Paulista, 37"
486,   R$ 2.700 /Mês  ,  1   Quarto  ,"Rua da Consolação, 1515 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  , Consolação,"Rua da Consolação, 1515"
487,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  , Cerqueira César,"Alameda Santos, 1018"
488,   R$ 1.800 /Mês    R$ 550.000   ,  3   Quartos  ,"Rua Dankmar Adler - Vila Suzana, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  80   m²  , Vila Suzana,Rua Dankmar Adler
489,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Freire, 1735 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  80   m²  , Pinheiros,"Rua Oscar Freire, 1735"
490,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  80   m²  , Vila Gumercindo,"Rua Dom Constantino Barradas, 120"
491,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua da Glória - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  30   m²  , Liberdade,Rua da Glória
492,   R$ 3.500 /Mês  ,  4   Quartos  ,"Vila Santo Estevão, São Paulo - SP",  2   Banheiros  ,  4   Vagas  ,  145   m²  , SP,"Vila Santo Estevão, São Paulo"
493,   R$ 7.985 /Mês    R$ 1.499.900   ,  3   Quartos  ,"Rua Nova York, 539 - Brooklin Paulista, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  120   m²  , Brooklin Paulista,"Rua Nova York, 539"
494,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua das Palmeiras - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  55   m²  , Vila Buarque,Rua das Palmeiras
495,   R$ 55.000 /Mês    R$ 23.000.000   ,  4   Quartos  ,"Rua Inhambú - Vila Uberabinha, São Paulo - SP",  6   Banheiros  ,  5   Vagas  ,  403   m²  , Vila Uberabinha,Rua Inhambú
496,   R$ 3.385 /Mês  ,  2   Quartos  ,"Rua Francisco Leitão, 381 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  101   m²  , Pinheiros,"Rua Francisco Leitão, 381"
497,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Manuel da Nóbrega, 646 - Paraíso, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  50   m²  , Paraíso,"Rua Manuel da Nóbrega, 646"
498,   R$ 2.700 /Mês  ,  3   Quartos  ,"Rua José Ramon Urtiza, 181 - Vila Andrade, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  95   m²  , Vila Andrade,"Rua José Ramon Urtiza, 181"
499,   R$ 4.100 /Mês  ,  3   Quartos  ,"Avenida Mofarrej, 275 - Vila Leopoldina, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  96   m²  , Vila Leopoldina,"Avenida Mofarrej, 275"
500,   R$ 3.200 /Mês  ,  2   Quartos  ,"Rua Alvorada - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Vila Olímpia,Rua Alvorada
501,   R$ 2.800 /Mês  ,  3   Quartos  ,"Rua Galvão Bueno, 499 - Liberdade, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  79   m²  , Liberdade,"Rua Galvão Bueno, 499"
502,   R$ 1.000 /Mês  ,  2   Quartos  ,"Rua Ataualpa, 144 - Parque Novo Mundo, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  , Parque Novo Mundo,"Rua Ataualpa, 144"
503,   R$ 16.000 /Mês  ,  4   Quartos  ,"Rua Nebraska - Brooklin Novo, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  200   m²  , Brooklin Novo,Rua Nebraska
504,   R$ 30.000 /Mês    R$ 6.500.000   ,  4   Quartos  ,"Vila Morumbi, São Paulo - SP",  5   Banheiros  ,  10   Vagas  ,  713   m²  , SP,"Vila Morumbi, São Paulo"
505,   R$ 100.000 /Mês    R$ 33.000.000   ,  6   Quartos  ,"Rua Antônio de Andrade Rebelo - Retiro Morumbi, São Paulo - SP",  6   Banheiros  ,  10   Vagas  ,  1700   m²  , Retiro Morumbi,Rua Antônio de Andrade Rebelo
506,   R$ 750 /Mês  ,  1   Quarto  ,"Rua Soldado João Rodrigues, 112 - Jardim Japão, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  35   m²  , Jardim Japão,"Rua Soldado João Rodrigues, 112"
507,   R$ 2.250 /Mês    R$ 435.800   ,  1   Quarto  ,"Rua Rubens Meireles, 99 - Várzea da Barra Funda, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  41   m²  , Várzea da Barra Funda,"Rua Rubens Meireles, 99"
508,   R$ 3.700 /Mês  ,  3   Quartos  ,"Rua Moreira Cardoso - Jardim Aeroporto, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  150   m²  , Jardim Aeroporto,Rua Moreira Cardoso
509,   R$ 4.500 /Mês  ,  3   Quartos  ,"Rua Mourato Coelho - Pinheiros, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  215   m²  , Pinheiros,Rua Mourato Coelho
510,   R$ 2.200 /Mês  ,  2   Quartos  ,"Rua Artur Thiré, 1085 - Vila da Saúde, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  80   m²  , Vila da Saúde,"Rua Artur Thiré, 1085"
511,   R$ 11.000 /Mês    R$ 2.600.000   ,  4   Quartos  ,"Rua Fonseca da Costa - Bosque da Saúde, São Paulo - SP",  6   Banheiros  ,  12   Vagas  ,  650   m²  , Bosque da Saúde,Rua Fonseca da Costa
512,   R$ 1.100 /Mês  ,  1   Quarto  ,"Parque São Luís, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  40   m²  , SP,"Parque São Luís, São Paulo"
513,   R$ 4.200 /Mês  ,  1   Quarto  ,"Travessa Dona Paula - Higienópolis, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  120   m²  , Higienópolis,Travessa Dona Paula
514,   R$ 9.500 /Mês  ,  2   Quartos  ,"Rua Bernarda Luiz, 164 - Vila Madalena, São Paulo - SP",  3   Banheiros  ,  --   Vaga  ,  180   m²  , Vila Madalena,"Rua Bernarda Luiz, 164"
515,   R$ 30.000 /Mês    R$ 7.900.000   ,  4   Quartos  ,"Jardim Cordeiro, São Paulo - SP",  6   Banheiros  ,  14   Vagas  ,  941   m²  , SP,"Jardim Cordeiro, São Paulo"
516,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Fortaleza, 186 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  86   m²  , Bela Vista,"Rua Fortaleza, 186"
517,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua Fernandes Moreira, 306 - Chácara Santo Antônio (Zona Sul), São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  134   m²  , Chácara Santo Antônio (Zona Sul),"Rua Fernandes Moreira, 306"
518,   R$ 6.800 /Mês    R$ 2.400.000   ,  4   Quartos  ,"Rua Icádio, 1 - City América, São Paulo - SP",  5   Banheiros  ,  8   Vagas  ,  600   m²  , City América,"Rua Icádio, 1"
519,   R$ 2.300 /Mês  ,  4   Quartos  ,"Rua Eduardo Ferreira Franca, 259 - Água Funda, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  100   m²  , Água Funda,"Rua Eduardo Ferreira Franca, 259"
520,   R$ 6.999 /Mês    R$ 2.500.000   ,  3   Quartos  ,"Rua Gregório Paes de Almeida - Vila Madalena, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  270   m²  , Vila Madalena,Rua Gregório Paes de Almeida
521,   R$ 12.000 /Mês    R$ 1.900.000   ,  4   Quartos  ,"Rua Topázio, 947 - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  390   m²  , Vila Mariana,"Rua Topázio, 947"
522,   R$ 10.000 /Mês  ,  2   Quartos  ,"Rua Maestro Chiaffarelli - Jardim Paulista, São Paulo - SP",  4   Banheiros  ,  1   Vaga  ,  170   m²  , Jardim Paulista,Rua Maestro Chiaffarelli
523,   R$ 1.570 /Mês  ,  3   Quartos  ,"Rua Lituânia - Alto da Mooca, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  78   m²  , Alto da Mooca,Rua Lituânia
524,   R$ 20.000 /Mês    R$ 4.000.000   ,  4   Quartos  ,"Rua Palmares, 650 - Brooklin Paulista, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  647   m²  , Brooklin Paulista,"Rua Palmares, 650"
525,   R$ 900 /Mês  ,  1   Quarto  ,"Parque São Luís, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  40   m²  , SP,"Parque São Luís, São Paulo"
526,   R$ 3.200 /Mês  ,  2   Quartos  ,"Rua Pascal - Campo Belo, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  80   m²  , Campo Belo,Rua Pascal
527,   R$ 24.000 /Mês  ,  4   Quartos  ,"Cerqueira César, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  250   m²  , SP,"Cerqueira César, São Paulo"
528,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Barretos, 363 - Alto da Mooca, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  , Alto da Mooca,"Rua Barretos, 363"
529,   R$ 8.000 /Mês  ,  2   Quartos  ,"Rua Cerro Corá, 100 - Vila Romana, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  90   m²  , Vila Romana,"Rua Cerro Corá, 100"
530,   R$ 11.500 /Mês  ,  3   Quartos  ,"Rua Professor Filadelfo Azevedo - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  4   Vagas  ,  213   m²  , Vila Nova Conceição,Rua Professor Filadelfo Azevedo
531,   R$ 4.900 /Mês    R$ 1.048.000   ,  4   Quartos  ,"Rua Breno Pinheiro - Jardim Morumbi, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  296   m²  , Jardim Morumbi,Rua Breno Pinheiro
532,   R$ 9.000 /Mês    R$ 1.200.000   ,  4   Quartos  ,"Jardim Monte Kemel, São Paulo - SP",  6   Banheiros  ,  10   Vagas  ,  379   m²  , SP,"Jardim Monte Kemel, São Paulo"
533,   R$ 20.000 /Mês  ,  4   Quartos  ,"Rua Simpatia - Jardim das Bandeiras, São Paulo - SP",  3   Banheiros  ,  4   Vagas  ,  650   m²  , Jardim das Bandeiras,Rua Simpatia
534,   R$ 13.000 /Mês    R$ 1.990.000   ,  4   Quartos  ,"Rua Jorge Tibiriçá - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  182   m²  , Vila Mariana,Rua Jorge Tibiriçá
